Наименование маршрута,lat,lon,city
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.974865,104.139184,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.97468,104.13897,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.974565,104.138873,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.974423,104.138846,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.974267,104.138584,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.974181,104.138508,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.974099,104.138482,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.973881,104.138519,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.973805,104.138439,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.973695,104.138192,Ольхонское плато
